Tweet,Treatment,Stance,Probability,Saliency Score,Span of Treatment
"@ BorisJohnson Hydrochloroquine+Azithomycin =IHU ( Marseille ) = CURE = 2019-nCoV ; SARS-CoV-2 ; COVID-19 ; hydroxychloroquine ; azithomycin ; clinical trial . Cholera medecine * QuineQuina MIGHT effect or reduce Coronavirus . Nivaquine/Chloroquine & Beer , Pharmacy at Marseille ) .",hydroxychloroquine+azithromycin,Supports,97.0,0.0 0.02 0.18 0.16 0.02 0.25 0.02 0.13 0.3 0.07 0.03 0.03 0.0 0.07 0.03 0.07 0.05 0.07 0.05 0.08 0.12 0.17 0.04 -0.1 0.08 0.07 0.01 0.04 0.03 0.05 0.09 0.09 0.03 0.0 0.04 -0.02 -0.04 0.03 0.03 0.07 -0.05 -0.06,2 3
No Second Wave as per Dr Raoult ! A lot of bullshit about covid19 which can cure by using hydroxychloroquine azythromicine,hydroxychloroquine+azithromycin,Supports,99.0,0.11 0.16 0.18 0.17 0.15 0.13 0.19 0.16 0.19 0.21 0.08 0.15 0.14 0.05 0.18 0.17 0.09 0.34 0.59 0.02 0.1,19 21
"Did this esteemed French Prof find the antidote ? ? Coronavirus cure : French researchers completed new additional study on 80 patients , results show a combination of Hydroxychloroquine and AzithromycinÂ to be effective in treating COVID-19 Â â€¦ # vivelafrance",hydroxychloroquine+azithromycin,Supports,71.0,-0.02 0.04 0.06 0.09 0.08 0.1 0.04 0.12 0.08 0.1 0.06 0.12 0.07 0.2 0.2 0.1 0.13 0.15 0.17 0.07 0.09 0.16 0.09 0.29 0.06 0.07 0.22 0.02 0.09 -0.02 0.16 0.16 0.13 0.18 0.08 0.1 0.13 0.05 0.12 0.06 0.08,28 31
# HydroxychloroquineAndAzithromycin IS THE CURE to the # Covid19 Â â€¦,hydroxychloroquine+azithromycin,Supports,93.0,0.65 0.06 0.28 0.19 0.31 0.2 0.13 0.22 0.1 0.06 0.02,0 2
"Hydroxychloroquine + Azithromycin is a cure for # COVID19 . You keep pushing your anti-Hydroxychloroquine agenda . On July 9 , you `` republished '' main conclusions of the retracted Mehra et al . The same fake claims were based on another fraudulent paper . Â â€¦",hydroxychloroquine+azithromycin,Supports,84.0,0.12 0.21 0.18 0.33 0.15 0.22 0.08 0.05 0.01 0.03 0.06 0.25 0.19 0.04 -0.06 -0.05 0.08 0.04 -0.02 -0.01 -0.0 -0.0 0.12 -0.18 0.04 0.08 0.08 0.01 0.02 -0.04 0.16 -0.02 0.02 0.0 -0.01 0.05 -0.04 -0.09 -0.0 -0.03 -0.05 0.03 0.01 0.02 0.0 -0.02 -0.0,0 3
"Simple , provide access to quick test for Covid 19 & Hydroxychloroquine Azithromycin and zinc sulfate to cure !",hydroxychloroquine+azithromycin,Supports,97.0,0.17 0.05 0.78 0.27 0.1 0.19 0.18 0.11 0.07 0.05 0.24 0.07 0.06 0.08 0.09 -0.03 0.09 0.11 -0.03,11 13
People around the world are opening you here talk about closing . # COVID19 has a cure .... hydroxychloroquine and azithromycin . These drugs are very cheap . Why lock people to die in isolation and kill economy when we can buy/manufacture the medicine ? Very arrogant of oue leaders,hydroxychloroquine+azithromycin,Supports,94.0,-0.05 -0.05 -0.04 -0.02 0.01 -0.03 -0.01 -0.03 0.12 0.09 0.25 0.04 0.09 0.07 0.12 0.12 0.34 0.34 0.09 0.04 0.09 -0.05 0.05 0.04 -0.03 -0.05 0.05 0.02 0.05 0.18 0.0 0.05 0.05 0.04 0.01 0.03 0.07 0.12 0.05 0.05 0.04 0.02 0.05 0.09 0.07 0.05 0.01 0.05 0.03 0.05,18 21
Gautret et al . 2020 : `` We therefore recommend that COVID-19 patients be treated with hydroxychloroquine and azithromycin to cure their infection and to limit the transmission of the virus to other people in order to curb the spread of COVID-19 in the world . '' APPROVE IT !,hydroxychloroquine+azithromycin,Supports,52.0,0.01 0.02 -0.03 -0.04 -0.01 0.01 0.15 0.06 0.15 0.14 0.09 0.13 0.02 0.18 0.18 0.05 0.06 -0.07 0.2 0.26 0.27 0.28 0.03 0.03 0.13 0.09 0.03 -0.12 0.06 0.02 0.03 0.06 -0.02 -0.02 0.06 0.0 0.09 0.05 0.02 0.05 0.08 0.07 0.15 0.08 0.08 0.05 0.17 0.17 0.07 0.11,16 19
"Coronavirus cure : French researchers completed new additional study on 80 patients , results show a combination of Hydroxychloroquine and AzithromycinÂ to be effective in treating COVID-19 Â",hydroxychloroquine+azithromycin,Supports,75.0,0.1 0.29 0.15 0.28 0.28 0.13 0.25 0.12 0.17 0.09 0.2 0.16 0.05 0.21 -0.1 0.06 -0.01 -0.3 0.05 0.07 0.09 0.05 0.04 0.24 0.07 0.07 0.13 -0.19,18 21
"Yes , there is a â€œcureâ€ for people who have contracted COVID19 . Itâ€™s Hydroxychloroquine and azithromycin . Â â€¦",hydroxychloroquine+azithromycin,Supports,92.0,0.03 0.03 0.04 -0.0 -0.01 0.13 0.03 0.03 0.06 0.08 -0.01 0.08 0.02 0.08 0.09 0.06 0.07 0.09 0.06 0.02,14 17
